#separator:tab
#html:true
#notetype:Mandarin Vocabulary
#deck:Mandarin::Vocabulary
#columns:Hanzi	Pinyin	English	ExampleHanzi	ExamplePinyin	ExampleEnglish	Notes
猫	māo	cat	我有一只猫。	Wǒ yǒu yì zhī māo.	I have a cat.	Measure word: 只 (zhī) for most animals.
熊	xióng	bear	那只熊很大。	Nà zhī xióng hěn dà.	That bear is very big.	Also slang for "lousy" or "weak" in some contexts.
熊猫	xióngmāo	panda	熊猫来自中国。	Xióngmāo láizì Zhōngguó.	Pandas come from China.	Literally "bear-cat".
妈妈	māma	mom	我妈妈是老师。	Wǒ māma shì lǎoshī.	My mom is a teacher.	More formal: 母亲 (mǔqīn).
爷爷	yéye	grandpa (paternal)	爷爷今年八十岁。	Yéye jīnnián bāshí suì.	Grandpa is eighty this year.	Maternal grandfather is 外公 (wàigōng).
奶奶	nǎinai	grandma (paternal)	奶奶做的饭很好吃。	Nǎinai zuò de fàn hěn hǎochī.	Grandma's cooking is delicious.	Maternal grandmother is 外婆 (wàipó).
爸爸	bàba	dad	爸爸在工作。	Bàba zài gōngzuò.	Dad is working.	More formal: 父亲 (fùqīn).
朋友	péngyou	friend	他是我的好朋友。	Tā shì wǒ de hǎo péngyou.	He is my good friend.	好朋友 = "good/close friend".
再见	zàijiàn	goodbye / see you	老师，再见！	Lǎoshī, zàijiàn!	Goodbye, teacher!	Literally "again see".
漂亮	piàoliang	beautiful / pretty	她很漂亮。	Tā hěn piàoliang.	She is very pretty.	Used for things and people; 美丽 (měilì) is more literary. In everyday speech, 好看 (hǎokàn, lit. "good to look at") is often more natural and casual — 漂亮 leans toward "pretty/striking", while 好看 is the all-purpose "nice-looking".
谢谢	xièxie	thanks	谢谢！	Xièxie!	Thanks!	Casual; second 谢 is neutral tone.
谢谢你	xièxie nǐ	thank you	谢谢你的帮助。	Xièxie nǐ de bāngzhù.	Thank you for your help.	Slightly more personal than just 谢谢.
不谢	bú xiè	you're welcome / not at all	不谢，这是我应该做的。	Bú xiè, zhè shì wǒ yīnggāi zuò de.	Not at all, it's what I should do.	不 changes to bú before a 4th-tone syllable.
不客气	bú kèqi	you're welcome	——谢谢！——不客气。	—Xièxie! —Bú kèqi.	—Thanks! —You're welcome.	Literally "don't be polite". Tone sandhi: bù → bú.
对不起	duìbuqǐ	sorry	对不起，我迟到了。	Duìbuqǐ, wǒ chídào le.	Sorry, I'm late.	More formal than 不好意思 (bù hǎoyìsi).
没关系	méi guānxi	no worries / it's ok	——对不起！——没关系。	—Duìbuqǐ! —Méi guānxi.	—Sorry! —It's ok.	Standard reply to an apology.
你好	nǐ hǎo	hello	你好，很高兴认识你。	Nǐ hǎo, hěn gāoxìng rènshi nǐ.	Hello, nice to meet you.	Both syllables 3rd tone → first becomes 2nd: ní hǎo.
你	nǐ	you	你是学生吗？	Nǐ shì xuésheng ma?	Are you a student?	Informal singular "you".
您	nín	you (formal)	您好，老师。	Nín hǎo, lǎoshī.	Hello, teacher.	Polite/respectful form of 你.
们	men	(plural suffix)	朋友们都来了。	Péngyoumen dōu lái le.	The friends have all come.	Pluralizes pronouns and people-nouns. Always neutral tone.
你们	nǐmen	you (plural)	你们是中国人吗？	Nǐmen shì Zhōngguórén ma?	Are you (all) Chinese?	你 + 们.
我	wǒ	I / me	我叫小明。	Wǒ jiào Xiǎo Míng.	I'm called Xiao Ming.	Same word for subject and object.
我们	wǒmen	we / us	我们是朋友。	Wǒmen shì péngyou.	We are friends.	我 + 们. Inclusive form: 咱们 (zánmen).
心	xīn	heart	他有一颗善良的心。	Tā yǒu yì kē shànliáng de xīn.	He has a kind heart.	Measure word: 颗 (kē). Also "mind/feelings".
康	kāng	healthy / well-being	康是健康的康。	Kāng shì jiànkāng de kāng.	Kāng is the kāng in jiànkāng.	Rarely used alone today; mostly in compounds and names.
健康	jiànkāng	health / healthy	祝你身体健康！	Zhù nǐ shēntǐ jiànkāng!	Wishing you good health!	Common toast and birthday wish.
不	bù	not (negation particle)	我不喝咖啡。	Wǒ bù hē kāfēi.	I don't drink coffee.	Becomes bú before a 4th-tone syllable.
叫	jiào	to call / to be called	你叫什么名字？	Nǐ jiào shénme míngzi?	What is your name?	Also "to shout".
他	tā	he / him	他是我哥哥。	Tā shì wǒ gēge.	He is my older brother.	Same pronunciation as 她 and 它.
她	tā	she / her	她是我妈妈。	Tā shì wǒ māma.	She is my mom.	Female-specific 他; introduced in the 20th century.
在	zài	in / at (preposition); to be at	我在学校。	Wǒ zài xuéxiào.	I am at school.	Also a progressive marker: 我在吃 (I am eating).
学校	xuéxiào	school	这个学校很大。	Zhège xuéxiào hěn dà.	This school is very big.	学 (study) + 校 (school).
